"","code","title","website","uni","country","city","lat","lon"
"1","4CITIES","4CITIES - UNICA Euromaster in Urban Studies","http://www.4cities.eu/","Free University of Brussels","Belgium","Brussels",50.8503,"4.3517"
"2","ACES","ACES - Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of the Highlands and Islands","UK","Oban",56.4152,"-5.471"
"3","ADVANCES","ADVANCES - MA Advanced Development in Social Work","http://www.socialworkadvances.org/","University of Lincoln","UK","Lincoln",53.2307,"-0.5406"
"4","AMASE","AMASE - Joint European Master Programme on Advanced Materials Science and Engineering","http://www.amase-master.net/","Saarland University","Germany","Saarbrücken",49.2402,"6.9969"
"5","ARCHMAT","ARCHMAT - European Master in ARCHaeological MATerials Science","http://www.erasmusmundus-archmat.uevora.pt/","University of Evora","Portugal","Evora",38.5707,"-7.9093"
"6","ASC","ASC - Advanced Spectroscopy in Chemistry Master's Course","http://www.master-asc.org/","University of Bologna","Italy","Bologna",44.4949,"11.3426"
"7","ASTROMUNDUS","ASTROMUNDUS - Astrophysics","http://www.astromundus.eu/","University of Innsbruck","Austria","Innsbruck",47.2692,"1.4041"
"8","ATOSIM","ATOSIM - Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems","http://www.erasmusmundus-atosim.cecam.org/","University of Lyon","France","Lyon",45.764,"4.8357"
"9","BIFTEC","BIFTEC - European Master of Science in Food Science, Technology and Business","http://www.fet.kuleuven.be/biftec","University of Leuven","Belgium","Ghent",51.0543,"3.7174"
"10","CARTO","CARTO E+ JMD Cartography","http://www.cartographymaster.eu/","Technical University of Munich","Germany","Munich",48.1351,"11.582"
"11","ChIR","ChIR - Erasmus Mundus Master in Chemical Innovation and Regulation","http://www.emmcchir.org/","University of Algarve","Portugal","Faro",37.0194,"-7.9304"
"12","CHOREOMUNDUS","CHOREOMUNDUS - International Master in Dance Knowledge, Practice and Heritage","http://www.choreomundus.org/","Norwegian University of Science and Technology","Norway","Trondheim",63.4305,"10.3951"
"13","CLE","CLE - Master Erasmus Mundus en  en Cultures Littéraires Européennes","http://www.cle.unibo.it/site/","University of Bologna","Italy","Bologna",44.4949,"11.3426"
"14","CoDe","CoDe - Joint European Master in Comparative Local Development","http://www.erasmusmundus-code.eu/","Corvinus University of Budapest","Hungary","Budapest",47.4979,"19.0402"
"15","CoMEM","CoMEM - Erasmus Mundus MSC Coastal and Marine Engineering and Management","http://www.ntnu.edu/studies/mscomem","Norwegian University of Science and Technology","Norway","Trondheim",63.4305,"10.3951"
"16","COSI","COSI Colour in Science and Industry","http://www.master-colorscience.eu/","University Jean Monnet","France","Saint-Etienne",45.4397,"4.3872"
"17","CWCN","CWCN - Crossways in Cultural Narratives","http://www.munduscrossways.eu/","University of Bergamo","Italy","Bergamo",45.6983,"9.6773"
"18","DCLead","DCLead - Msc Digital Communication Leadership","http://www.dclead.eu/","University of Salzburg","Austria","Salzburg",47.8095,"13.055"
